-0.3752063  0.0478349 -0.2307258  0.2322640  0.0639521 -0.0151414 -0.1126250  0.2978806  0.2428710  0.1855196  3.0678821
-0.2723348 -0.0654697 -0.2971730  0.2279916  0.1258234  0.1379593  0.0163533  0.3406679  0.3542008  0.2909826  4.9821100
-0.0334184 -0.0920292 -0.4834628 -0.0142531 -0.1143467  0.0782358  0.0318383  0.3754811  0.4039691  0.3433927 11.9588127
-0.0295263 -0.0939305 -0.4828889 -0.0125287 -0.1091812  0.0769801  0.0285345  0.3719524  0.4037373  0.3457022  0.0067992
 0.0845030 -0.0251816 -0.3446181  0.1165879 -0.0972456 -0.0314957  0.0170339  0.2916797  0.5136014  0.2576267  4.5992866
 0.1714786  0.0816978 -0.1901103  0.2719975 -0.0625683 -0.0649486 -0.0556760  0.2286322  0.6193893  0.1095066  4.8363285
 0.2290762  0.2707185 -0.2723329  0.4779115  0.1653511 -0.2592652  0.0483112  0.3340071  0.5786002  0.0207985 10.7645741
 0.4912169  0.4465808 -0.2840270  0.2491352  0.3546019 -0.2837553  0.0156695  0.6827579  0.7683960 -0.2833558 30.1443348
 0.4748864  0.4655027 -0.3227741  0.2311693  0.3426640 -0.2608936  0.0731196  0.7280815  0.7807363 -0.3332935  1.3591979
 0.4741228  0.4436303 -0.3340028  0.2380633  0.3574402 -0.2679155  0.0734813  0.7475644  0.7718194 -0.3335080  0.0996301
 0.6631476  0.2025482 -0.1418032  0.0208251  0.2540048 -0.1623035  0.1128638  0.9779438  0.5216056 -0.4317394 14.3773632
 0.7144918  0.1466897 -0.1894331  0.0086765  0.2997051 -0.1146104  0.0658982  0.9816062  0.5726064 -0.4323200  1.0961748
 0.7575709  0.1291606 -0.2303589  0.0214401  0.3335422 -0.0671059  0.1071017  0.9770193  0.5026119 -0.4568642  1.7237025
 0.8739713 -0.0325305 -0.2244415  0.0781251  0.3078824 -0.2045967  0.2633795  1.1235745  0.5198440 -0.5104287  6.0480618
 0.8803114 -0.0044978 -0.3022440  0.1191871  0.3177262 -0.1534480  0.1550842  1.1689134  0.4662113 -0.5255142  2.5139003
 0.8130288  0.0533356 -0.2271197  0.0965367  0.3179255 -0.0670980  0.0505045  1.2783831  0.4822763 -0.6249945  2.4490623
 0.8023851  0.1572789 -0.3436715  0.0534693  0.2643752  0.0355595 -0.0657466  1.4063616  0.6148067 -0.7075984  5.7717891
